No.,建屋,階,部屋名,部署,"分電盤
No.",分電盤名,"親分電盤
(あれば)","電力量計
あり/なし","ﾌﾞﾚｰｶ番号
(あれば)","電圧
200/100","相
3/1","ﾌﾞﾚｰｶ容量
A",負荷名,"ｹｰﾌﾞﾙ径
mm",備考,"電力量計
取付対象",線,型番,単価,必要CT数,小計,電力計,電力計単価,M5Stack,M5Stack単価
339.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,,100/200,1.0,225,主幹,16,単相3線式,1.0,2.0,KM-NCT-225A,3900.0,1.0,3900.0,,,,
340.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,1,200,1.0,20,ﾃｸﾆｶﾙｾﾝﾀｰ電灯201,3.5,,,2.0,,,,,,,,
341.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,3,200,1.0,20,ﾃｸﾆｶﾙｾﾝﾀｰ電灯203,3.5,,,2.0,,,,,,,,
342.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,5,200,1.0,20,なし,3.5,OFF,,2.0,,,,,,,,
343.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,7,200,1.0,20,なし,なし,OFF,,2.0,,,,,,,,
344.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,9,200,1.0,20,なし,なし,OFF,,2.0,,,,,,,,
345.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,1,100,1.0,20,なし,なし,OFF,,2.0,,,,,,,,
346.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,3,100,1.0,20,ﾃｸﾆｶﾙｾﾝﾀｰｺﾝｾﾝﾄ301,3.5,,,2.0,,,,,,,,
347.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,5,100,1.0,20,SIRON F904,3.5,,,2.0,,,,,,,,
348.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,7,100,1.0,20,作業室(KO-10)ｺﾝｾﾝﾄ305,3.5,,,2.0,,,,,,,,
349.0,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,,1L-1,,なし,9,100,1.0,20,なし,なし,OFF,,2.0,,,,,,,,
