階層1,階層2,階層3,建屋,階,部屋名,部署,"分電盤
No."
L33-1A,,,3-3,1.0,玄関,共通,20
M33-1A,,,3-3,1.0,玄関,共通,24
M33-1W,M33-1W-1盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3
M33-1W,排気ﾌｧﾝ操作盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3
M33-1W,ﾎﾙﾀﾞ測定室分電盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3
M33-1H(左),電源盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,18
M33-1H(左),動力盤B,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,18
M33-1H(左),動力盤C,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,18
M33-1H(右),,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,14
M33-1I,ﾌｧﾝ制御盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,2
M33-1G,,,3-3,1.0,ﾎﾙﾀﾞ加工室,ﾎﾙﾀﾞ,17
M33-1J,,,3-3,1.0,ﾎﾙﾀﾞ加工室,ﾎﾙﾀﾞ,
M33-1K,M33-1K-1,,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1
M33-1K,空調ｴｱﾊﾝ運転盤,,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1
工具1F動力M-1(左),M33-1J-1(1),恒温ﾌﾞｰｽ用動力盤,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,29
工具1F動力M-2(中),M33-1J-1(2),,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,19
工具1F動力M-3(右),,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,30
M33-1B,M33-1B-1,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,ﾎﾙﾀﾞ,21
L33-1B,,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,7
動力盤D,,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,ﾎﾙﾀﾞ,
M33-1L,,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8
M33-1N(A),,,3-3,1.0,原料集中制御室,原料,5
M33-1N(B),,,3-3,1.0,原料集中制御室,原料,6
M33-1F,,,3-3,1.0,集塵機室,CBN,37
1L-1,,,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,
1M-1,動力盤1M-1-1,,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,
L33-2A(左),,,3-3,2.0,廊下,CBN,22
